Attorney,Firm,Law School,SCOTUS Clerkship,Repeat Appearance,Num. Previous Cases
Jonathan E. Taylor,Gupta and Wessler,Harvard,NA,No,0
Jonathan F. Mitchell,Mitchell Law PLLC,Chicago,Scalia,Yes,5
Joshua N. Turner,ID AG,Liberty,NA,No,0
Joshua P. Davis,Berger Montague,NYU,NA,No,0
Judith N. Vale,NY AG Office,Georgetown,NA,Yes,1
Kannon K. Shanmugam,Paul Weiss,Harvard,Scalia,Yes,36
Kelsi B. Corkran,Georgetown Law School,Chicago,Ginsburg,Yes,2
Lanora C. Pettit,TX AG Office,Virginia,NA,Yes,1
Leah C. Aden,,Legal Defense Fund,Howard,NA,No,0
Linda T. Coberly,Winston and Strawn,Michigan,Breyer,No,0
Lisa S. Blatt,Williams and Connolly,Texas,Ginsburg,Yes,46
Lloyd B. Miller,Sonosky,Virginia,NA,Yes,1
Malcolm L. Stewart,SG Office,Yale,NA,Yes,98
Masha G. Hansford,SG Office,Stanford,NA,Yes,5
Mathura J. Sridharan,Ohio SG Office,NYU,NA,No,0
Matthew Guarnieri,SG Office,Columbia,NA,Yes,9
Megan M. Wold,Cooper and Kirk,Notre Dame,Alito,No,0
Michael R. Dreeben,Special Counsel,Duke,NA,Yes,105
Misha Tseytlin,Troutman Pepper,Georgetown,NA,Yes,2
Nandan M. Joshi,Public Citizen,Georgetown,NA,No,0
Neal Katyal,Hogan Lovells,Yale,Breyer,Yes,50
Nicole F. Reaves,SG Office,Virginia,Alito,Yes,5
Noel J. Francisco,Jones Day,Chicago,Scalia,Yes,20
Pamela S. Karlan,Stanford University,Yale,Blackmum,Yes,9
Paul Clement,Clement and Muprhy,Harvard,Scalia,Yes,110
Paul J. Beard, Ii,Pierson Ferdinand,Cornell,NA,Yes,1
Pratik A. Shah,Akin Gump,California, Berkeley,Breyer,Yes,16
Richard A. Simpson,Wiley,UNC,NA,No,0
Robert J. Mcnamara,Institure for Justice,NYU,NA,No,0
Robert M. Loeb,Orick, Herrington,Chicago,NA,Yes,3
